"id","name","code","short_code"
"3","اردبیل","24","24"
"4","اصفهان","10","10"
"5","البرز","30","30"
"6","ایلام","16","16"
"7","بوشهر","18","18"
"8","تهران","23","23"
"9","چهارمحال و بختیاری","14","14"
"10","خراسان جنوبی","29","29"
"12","خراسان شمالی","28","28"
"14","زنجان","19","19"
"15","سمنان","20","20"
"16","سیستان و بلوچستان","11","11"
"18","قزوین","26","26"
"19","قم","25","25"
"20","کردستان","12","12"
"23","کهگیلویه و بویراحمد","17","17"
"24","گلستان","27","27"
"26","لرستان","15","15"
"29","هرمزگان","22","22"
"30","همدان","13","13"
"31","یزد","21","21"
"1","آذربایجان شرقی","03","03"
"2","آذربایجان غربی","04","04"
"11","خراسان رضوی","09","09"
"13","خوزستان","06","06"
"17","فارس","07","07"
"21","کرمان","08","08"
"22","کرمانشاه","05","05"
"25","گیلان","01","01"
"27","مازندران","02","02"
"28","مرکزی","00","00"
